,Country,Population Aged 0 to 14 (%),Population Aged 60 and Over (%),Population density,Population(in millions),Female Population(in millions),Male Population(in millions),Sex ratio (males per 100 females),Working-Age (15-59) %,Youth Dependency Ratio,Old-Age Dependency Ratio,Total Dependency Ratio,Country_Standard,iso_alpha3,Continent
131,Papua New Guinea,33.5,5.9,23.4,10.58,5.14,5.44,105.9,60.6,55.28052805280528,9.735973597359736,65.01650165016501,Papua New Guinea,PNG,Oceania
132,Paraguay,28.6,9.9,17.1,6.93,3.46,3.47,100.6,61.50000000000001,46.5040650406504,16.097560975609753,62.601626016260155,Paraguay,PRY,South America
133,Peru,24.0,13.0,26.7,34.22,17.2,17.02,98.9,63.0,38.095238095238095,20.634920634920633,58.73015873015873,Peru,PER,South America
134,Philippines,27.9,8.8,386.1,115.84,58.06,57.78,99.5,63.3,44.07582938388626,13.902053712480257,57.97788309636651,Philippines,PHL,Asia
135,Poland,14.8,26.3,125.9,38.54,19.87,18.67,94.0,58.900000000000006,25.127334465195243,44.65195246179966,69.7792869269949,Poland,POL,Europe
136,Portugal,12.8,31.5,113.3,10.43,5.46,4.97,91.0,55.7,22.980251346499102,56.552962298025136,79.53321364452424,Portugal,PRT,Europe
137,Qatar,15.1,3.5,263.1,3.05,0.88,2.17,248.2,81.4,18.55036855036855,4.2997542997543,22.85012285012285,Qatar,QAT,Asia
138,South Korea,10.6,27.4,522.7,51.72,25.9,25.81,99.7,62.00000000000001,17.096774193548384,44.19354838709676,61.290322580645146,South Korea,KOR,Asia
139,Moldova,19.8,23.0,92.3,3.04,1.64,1.4,85.2,57.2,34.61538461538461,40.20979020979021,74.82517482517483,Moldova,MDA,Europe
140,Romania,15.7,25.3,82.6,19.02,9.81,9.21,93.9,59.0,26.610169491525422,42.88135593220339,69.49152542372882,Romania,ROU,Europe
141,Russia,17.3,24.0,8.8,144.82,77.62,67.21,86.6,58.7,29.471890971039183,40.88586030664395,70.35775127768314,Russia,RUS,Europe
142,Rwanda,37.4,6.1,588.9,14.26,7.3,6.95,95.2,56.5,66.19469026548673,10.79646017699115,76.99115044247787,Rwanda,RWA,Africa
143,Saint Kitts and Nevis,18.2,17.1,180.2,0.05,0.02,0.02,91.8,64.69999999999999,28.129829984544052,26.429675425038646,54.5595054095827,St. Kitts and Nevis,KNA,North America
144,Saint Lucia,17.5,14.9,291.8,0.18,0.09,0.09,97.5,67.6,25.887573964497047,22.041420118343197,47.92899408284025,St. Lucia,LCA,North America
145,Saint Vincent and the Grenadines,21.3,17.8,258.0,0.1,0.05,0.05,103.8,60.900000000000006,34.97536945812808,29.22824302134647,64.20361247947454,St. Vincent and the Grenadines,VCT,North America
146,Samoa,38.5,9.2,77.0,0.22,0.11,0.11,101.4,52.3,73.61376673040154,17.590822179732314,91.20458891013385,Samoa,WSM,Oceania
147,San Marino,12.3,30.5,550.5,0.03,0.02,0.02,96.7,57.2,21.503496503496503,53.32167832167832,74.82517482517483,San Marino,SMR,Europe
148,Sao Tome and Principe,37.8,6.1,245.4,0.24,0.12,0.12,98.8,56.1,67.37967914438502,10.873440285204989,78.25311942959001,Sao Tome and Principe,STP,Africa
149,Saudi Arabia,23.8,5.2,15.8,33.96,13.4,20.56,153.4,71.0,33.52112676056338,7.323943661971831,40.84507042253521,Saudi Arabia,SAU,Asia
150,Senegal,38.2,5.6,96.1,18.5,9.1,9.41,103.4,56.199999999999996,67.97153024911033,9.9644128113879,77.93594306049823,Senegal,SEN,Africa
151,Serbia,14.3,29.5,87.8,6.74,3.54,3.2,90.3,56.2,25.444839857651246,52.491103202846965,77.9359430604982,Serbia,SRB,Europe
152,Seychelles,20.0,13.2,285.4,0.13,0.06,0.07,123.0,66.8,29.940119760479046,19.760479041916167,49.70059880239521,Seychelles,SYC,Africa
153,Sierra Leone,38.1,5.2,120.5,8.64,4.33,4.31,99.5,56.699999999999996,67.1957671957672,9.171075837742505,76.36684303350971,Sierra Leone,SLE,Africa
154,Singapore,11.7,19.1,8539.4,5.83,2.82,3.01,106.9,69.19999999999999,16.907514450867055,27.60115606936417,44.50867052023122,Singapore,SGP,Asia
155,Slovakia,15.8,24.8,112.3,5.51,2.82,2.69,95.4,59.400000000000006,26.599326599326602,41.75084175084175,68.35016835016836,Slovakia,SVK,Europe
156,Slovenia,14.7,28.6,105.2,2.12,1.05,1.06,101.0,56.699999999999996,25.925925925925924,50.440917107583786,76.36684303350971,Slovenia,SVN,Europe
